week_id,week_start,week_end,posts_processed,twitter_posts,truth_posts,reposts,original_posts,unique_nodes,edge_count,negative_posts,neutral_posts,positive_posts,top_topic,top_topic_node,top_topic_count,top_entity,top_entity_node,top_entity_count,top_nodes_json
2010-W11,2010-03-15,2010-03-21,4,4,0,0,4,3,1,0,0,4,Media Communications,topic::media_communications,3,Nbc,org::nbc,1,"[{""node"":""topic::media_communications"",""label"":""Media Communications"",""count"":3},{""node"":""topic::health_public_health"",""label"":""Health Public Health"",""count"":1},{""node"":""org::nbc"",""label"":""Nbc"",""count"":1}]"
2010-W12,2010-03-22,2010-03-28,2,2,0,0,2,2,0,0,2,0,Media Communications,topic::media_communications,1,,,0,"[{""node"":""topic::media_communications"",""label"":""Media Communications"",""count"":1},{""node"":""topic::endorsements_appointments"",""label"":""Endorsements Appointments"",""count"":1}]"
2010-W13,2010-03-29,2010-04-04,3,3,0,0,3,7,13,0,1,2,Media Communications,topic::media_communications,3,Trump Tower,loc::trump tower,2,"[{""node"":""topic::media_communications"",""label"":""Media Communications"",""count"":3},{""node"":""loc::trump tower"",""label"":""Trump Tower"",""count"":2},{""node"":""loc::nyc"",""label"":""Nyc"",""count"":1},{""node"":""org::com"",""label"":""Com"",""count"":1},{""node"":""org::nbc"",""label"":""Nbc"",""count"":1},{""node"":""topic::health_public_health"",""label"":""Health Public Health"",""count"":1},{""node"":""topic::energy_environment"",""label"":""Energy Environment"",""count"":1}]"
2010-W14,2010-04-05,2010-04-11,5,5,0,0,5,7,5,0,0,5,Media Communications,topic::media_communications,3,Central Park,loc::central park,1,"[{""node"":""topic::media_communications"",""label"":""Media Communications"",""count"":3},{""node"":""loc::central park"",""label"":""Central Park"",""count"":1},{""node"":""per::mel"",""label"":""Mel"",""count"":1},{""node"":""topic::defense_military_veterans"",""label"":""Defense Military Veterans"",""count"":1},{""node"":""per::sean"",""label"":""Sean"",""count"":1},{""node"":""topic::social_culture_education"",""label"":""Social Culture Education"",""count"":1},{""node"":""loc::new york"",""label"":""New York"",""count"":1}]"
2010-W15,2010-04-12,2010-04-18,4,4,0,0,4,4,2,0,1,3,Media Communications,topic::media_communications,3,Donald J. Trump,per::donald j. trump,1,"[{""node"":""topic::media_communications"",""label"":""Media Communications"",""count"":3},{""node"":""per::donald j. trump"",""label"":""Donald J. Trump"",""count"":1},{""node"":""topic::social_culture_education"",""label"":""Social Culture Education"",""count"":1},{""node"":""loc::palm beach"",""label"":""Palm Beach"",""count"":1}]"
2010-W16,2010-04-19,2010-04-25,4,4,0,0,4,8,12,0,1,3,Media Communications,topic::media_communications,3,Nbc,org::nbc,2,"[{""node"":""topic::media_communications"",""label"":""Media Communications"",""count"":3},{""node"":""org::nbc"",""label"":""Nbc"",""count"":2},{""node"":""per::mel"",""label"":""Mel"",""count"":2},{""node"":""topic::endorsements_appointments"",""label"":""Endorsements Appointments"",""count"":1},{""node"":""per::ania"",""label"":""Ania"",""count"":1},{""node"":""org::cbs"",""label"":""Cbs"",""count"":1},{""node"":""per::tu"",""label"":""Tu"",""count"":1},{""node"":""loc::las vegas"",""label"":""Las Vegas"",""count"":1}]"
2010-W17,2010-04-26,2010-05-02,4,4,0,0,4,9,16,0,0,4,Media Communications,topic::media_communications,4,Qvc,org::qvc,2,"[{""node"":""topic::media_communications"",""label"":""Media Communications"",""count"":4},{""node"":""org::qvc"",""label"":""Qvc"",""count"":2},{""node"":""per::mel"",""label"":""Mel"",""count"":2},{""node"":""per::b"",""label"":""B"",""count"":1},{""node"":""topic::health_public_health"",""label"":""Health Public Health"",""count"":1},{""node"":""org::cnn"",""label"":""Cnn"",""count"":1},{""node"":""per::melania"",""label"":""Melania"",""count"":1},{""node"":""org::&"",""label"":""&"",""count"":1},{""node"":""per::ania trump"",""label"":""Ania Trump"",""count"":1}]"
2010-W18,2010-05-03,2010-05-09,4,4,0,0,4,7,8,0,1,3,Media Communications,topic::media_communications,3,Nbc,org::nbc,1,"[{""node"":""topic::media_communications"",""label"":""Media Communications"",""count"":3},{""node"":""org::nbc"",""label"":""Nbc"",""count"":1},{""node"":""topic::endorsements_appointments"",""label"":""Endorsements Appointments"",""count"":1},{""node"":""per::joan"",""label"":""Joan"",""count"":1},{""node"":""topic::defense_military_veterans"",""label"":""Defense Military Veterans"",""count"":1},{""node"":""topic::health_public_health"",""label"":""Health Public Health"",""count"":1},{""node"":""per::b"",""label"":""B"",""count"":1}]"
2010-W19,2010-05-10,2010-05-16,1,1,0,0,1,3,3,0,0,1,Media Communications,topic::media_communications,1,Las Vegas,loc::las vegas,1,"[{""node"":""topic::media_communications"",""label"":""Media Communications"",""count"":1},{""node"":""loc::las vegas"",""label"":""Las Vegas"",""count"":1},{""node"":""org::nbc"",""label"":""Nbc"",""count"":1}]"
2010-W20,2010-05-17,2010-05-23,5,5,0,0,5,6,6,0,3,2,Media Communications,topic::media_communications,5,R,per::r,1,"[{""node"":""topic::media_communications"",""label"":""Media Communications"",""count"":5},{""node"":""per::r"",""label"":""R"",""count"":1},{""node"":""org::nbc"",""label"":""Nbc"",""count"":1},{""node"":""per::b"",""label"":""B"",""count"":1},{""node"":""topic::health_public_health"",""label"":""Health Public Health"",""count"":1},{""node"":""mention::bretmichaels"",""label"":""@bretmichaels"",""count"":1}]"
