week_id,week_start,week_end,posts_processed,retruths,original_posts,unique_nodes,edge_count,negative_posts,neutral_posts,positive_posts,top_topic,top_topic_node,top_topic_count,top_entity,top_entity_node,top_entity_count,top_nodes_json
2022-W36,2022-09-05,2022-09-11,60,14,46,94,426,35,10,15,Law Justice Crime,topic::law_justice_crime,32,Fbi,org::fbi,15,"[{""node"":""topic::law_justice_crime"",""label"":""Law Justice Crime"",""count"":32},{""node"":""topic::media_communications"",""label"":""Media Communications"",""count"":30},{""node"":""org::fbi"",""label"":""Fbi"",""count"":15},{""node"":""topic::elections_campaigns"",""label"":""Elections Campaigns"",""count"":9},{""node"":""per::trump"",""label"":""Trump"",""count"":8},{""node"":""topic::energy_environment"",""label"":""Energy Environment"",""count"":7},{""node"":""topic::health_public_health"",""label"":""Health Public Health"",""count"":6},{""node"":""org::doj"",""label"":""Doj"",""count"":5},{""node"":""topic::endorsements_appointments"",""label"":""Endorsements Appointments"",""count"":4},{""node"":""loc::hell"",""label"":""Hell"",""count"":4}]"
2022-W37,2022-09-12,2022-09-18,108,68,40,124,540,39,34,35,Media Communications,topic::media_communications,77,Fbi,org::fbi,11,"[{""node"":""topic::media_communications"",""label"":""Media Communications"",""count"":77},{""node"":""topic::law_justice_crime"",""label"":""Law Justice Crime"",""count"":22},{""node"":""topic::elections_campaigns"",""label"":""Elections Campaigns"",""count"":18},{""node"":""topic::health_public_health"",""label"":""Health Public Health"",""count"":14},{""node"":""topic::energy_environment"",""label"":""Energy Environment"",""count"":12},{""node"":""mention::realdonaldtrump"",""label"":""@realdonaldtrump"",""count"":12},{""node"":""org::fbi"",""label"":""Fbi"",""count"":11},{""node"":""per::trump"",""label"":""Trump"",""count"":10},{""node"":""loc::ohio"",""label"":""Ohio"",""count"":10},{""node"":""topic::congress_governance"",""label"":""Congress Governance"",""count"":9}]"
2022-W38,2022-09-19,2022-09-25,91,33,58,120,484,35,31,25,Media Communications,topic::media_communications,56,Trump,per::trump,16,"[{""node"":""topic::media_communications"",""label"":""Media Communications"",""count"":56},{""node"":""topic::law_justice_crime"",""label"":""Law Justice Crime"",""count"":26},{""node"":""topic::elections_campaigns"",""label"":""Elections Campaigns"",""count"":16},{""node"":""per::trump"",""label"":""Trump"",""count"":16},{""node"":""topic::endorsements_appointments"",""label"":""Endorsements Appointments"",""count"":7},{""node"":""topic::health_public_health"",""label"":""Health Public Health"",""count"":7},{""node"":""mention::realdonaldtrump"",""label"":""@realdonaldtrump"",""count"":6},{""node"":""org::fbi"",""label"":""Fbi"",""count"":6},{""node"":""per::p"",""label"":""P"",""count"":6},{""node"":""topic::energy_environment"",""label"":""Energy Environment"",""count"":5}]"
2022-W39,2022-09-26,2022-10-02,85,43,42,101,475,28,34,23,Media Communications,topic::media_communications,57,Trump,per::trump,14,"[{""node"":""topic::media_communications"",""label"":""Media Communications"",""count"":57},{""node"":""topic::elections_campaigns"",""label"":""Elections Campaigns"",""count"":16},{""node"":""per::trump"",""label"":""Trump"",""count"":14},{""node"":""topic::law_justice_crime"",""label"":""Law Justice Crime"",""count"":11},{""node"":""topic::health_public_health"",""label"":""Health Public Health"",""count"":11},{""node"":""mention::realdonaldtrump"",""label"":""@realdonaldtrump"",""count"":11},{""node"":""topic::congress_governance"",""label"":""Congress Governance"",""count"":10},{""node"":""topic::energy_environment"",""label"":""Energy Environment"",""count"":9},{""node"":""topic::foreign_policy_diplomacy"",""label"":""Foreign Policy Diplomacy"",""count"":6},{""node"":""loc::russia"",""label"":""Russia"",""count"":5}]"
2022-W40,2022-10-03,2022-10-09,92,32,60,114,452,19,33,40,Media Communications,topic::media_communications,57,Trump,per::trump,16,"[{""node"":""topic::media_communications"",""label"":""Media Communications"",""count"":57},{""node"":""topic::law_justice_crime"",""label"":""Law Justice Crime"",""count"":21},{""node"":""per::trump"",""label"":""Trump"",""count"":16},{""node"":""topic::health_public_health"",""label"":""Health Public Health"",""count"":13},{""node"":""topic::elections_campaigns"",""label"":""Elections Campaigns"",""count"":11},{""node"":""topic::endorsements_appointments"",""label"":""Endorsements Appointments"",""count"":8},{""node"":""mention::realdonaldtrump"",""label"":""@realdonaldtrump"",""count"":8},{""node"":""loc::nevada"",""label"":""Nevada"",""count"":7},{""node"":""per::b"",""label"":""B"",""count"":6},{""node"":""loc::brazil"",""label"":""Brazil"",""count"":5}]"
2022-W41,2022-10-10,2022-10-16,90,27,63,103,417,24,38,28,Media Communications,topic::media_communications,54,Trump,per::trump,11,"[{""node"":""topic::media_communications"",""label"":""Media Communications"",""count"":54},{""node"":""topic::law_justice_crime"",""label"":""Law Justice Crime"",""count"":24},{""node"":""topic::health_public_health"",""label"":""Health Public Health"",""count"":13},{""node"":""topic::elections_campaigns"",""label"":""Elections Campaigns"",""count"":11},{""node"":""per::trump"",""label"":""Trump"",""count"":11},{""node"":""topic::energy_environment"",""label"":""Energy Environment"",""count"":10},{""node"":""mention::realdonaldtrump"",""label"":""@realdonaldtrump"",""count"":9},{""node"":""topic::congress_governance"",""label"":""Congress Governance"",""count"":9},{""node"":""topic::endorsements_appointments"",""label"":""Endorsements Appointments"",""count"":8},{""node"":""topic::defense_military_veterans"",""label"":""Defense Military Veterans"",""count"":7}]"
2022-W42,2022-10-17,2022-10-23,70,34,36,108,463,25,20,25,Media Communications,topic::media_communications,44,Trump,per::trump,8,"[{""node"":""topic::media_communications"",""label"":""Media Communications"",""count"":44},{""node"":""topic::law_justice_crime"",""label"":""Law Justice Crime"",""count"":17},{""node"":""topic::elections_campaigns"",""label"":""Elections Campaigns"",""count"":14},{""node"":""mention::realdonaldtrump"",""label"":""@realdonaldtrump"",""count"":10},{""node"":""per::trump"",""label"":""Trump"",""count"":8},{""node"":""topic::defense_military_veterans"",""label"":""Defense Military Veterans"",""count"":7},{""node"":""topic::congress_governance"",""label"":""Congress Governance"",""count"":6},{""node"":""topic::health_public_health"",""label"":""Health Public Health"",""count"":6},{""node"":""topic::endorsements_appointments"",""label"":""Endorsements Appointments"",""count"":6},{""node"":""topic::energy_environment"",""label"":""Energy Environment"",""count"":4}]"
2022-W43,2022-10-24,2022-10-30,92,34,58,113,430,26,32,34,Media Communications,topic::media_communications,50,Trump,per::trump,8,"[{""node"":""topic::media_communications"",""label"":""Media Communications"",""count"":50},{""node"":""topic::law_justice_crime"",""label"":""Law Justice Crime"",""count"":28},{""node"":""topic::elections_campaigns"",""label"":""Elections Campaigns"",""count"":18},{""node"":""topic::health_public_health"",""label"":""Health Public Health"",""count"":15},{""node"":""topic::defense_military_veterans"",""label"":""Defense Military Veterans"",""count"":8},{""node"":""per::trump"",""label"":""Trump"",""count"":8},{""node"":""topic::congress_governance"",""label"":""Congress Governance"",""count"":7},{""node"":""topic::endorsements_appointments"",""label"":""Endorsements Appointments"",""count"":6},{""node"":""mention::oksanatrump"",""label"":""@oksanatrump"",""count"":6},{""node"":""topic::energy_environment"",""label"":""Energy Environment"",""count"":4}]"
2022-W44,2022-10-31,2022-11-06,102,55,47,124,560,24,37,41,Media Communications,topic::media_communications,70,Trump,per::trump,14,"[{""node"":""topic::media_communications"",""label"":""Media Communications"",""count"":70},{""node"":""topic::law_justice_crime"",""label"":""Law Justice Crime"",""count"":17},{""node"":""per::trump"",""label"":""Trump"",""count"":14},{""node"":""topic::elections_campaigns"",""label"":""Elections Campaigns"",""count"":12},{""node"":""mention::realdonaldtrump"",""label"":""@realdonaldtrump"",""count"":12},{""node"":""topic::health_public_health"",""label"":""Health Public Health"",""count"":10},{""node"":""topic::congress_governance"",""label"":""Congress Governance"",""count"":10},{""node"":""mention::realamericasvoice"",""label"":""@realamericasvoice"",""count"":9},{""node"":""topic::endorsements_appointments"",""label"":""Endorsements Appointments"",""count"":7},{""node"":""topic::defense_military_veterans"",""label"":""Defense Military Veterans"",""count"":7}]"
2022-W45,2022-11-07,2022-11-13,95,36,59,119,520,40,25,30,Media Communications,topic::media_communications,61,Arizona,loc::arizona,10,"[{""node"":""topic::media_communications"",""label"":""Media Communications"",""count"":61},{""node"":""topic::elections_campaigns"",""label"":""Elections Campaigns"",""count"":24},{""node"":""topic::congress_governance"",""label"":""Congress Governance"",""count"":15},{""node"":""topic::law_justice_crime"",""label"":""Law Justice Crime"",""count"":15},{""node"":""topic::health_public_health"",""label"":""Health Public Health"",""count"":13},{""node"":""loc::arizona"",""label"":""Arizona"",""count"":10},{""node"":""topic::endorsements_appointments"",""label"":""Endorsements Appointments"",""count"":8},{""node"":""per::trump"",""label"":""Trump"",""count"":7},{""node"":""topic::energy_environment"",""label"":""Energy Environment"",""count"":6},{""node"":""topic::immigration_border"",""label"":""Immigration Border"",""count"":6}]"
